,Learning Rate,Random Seed,,,,,Mean,Std
,,1,2,3,4,5,,
Nesterov,1.0,5.700,5.150,5.140,5.140,5.170,5.260,0.246
,5.0,5.110,5.060,4.990,5.000,5.270,5.086,0.114
,10.0,6.140,6.350,6.320,5.300,6.120,6.046,0.430
,15.0,4.720,4.750,4.950,4.960,4.990,4.874,0.128
,20.0,6.350,5.280,6.340,6.120,6.080,6.034,0.439
,25.0,6.350,6.370,6.360,6.280,6.340,6.340,0.035
,30.0,6.370,6.010,6.890,6.130,6.210,6.322,0.343
,35.0,6.750,6.730,6.560,6.710,10.070,7.364,1.515
,40.0,6.730,6.560,6.780,6.600,7.220,6.778,0.263
HB,1.0,4.730,5.720,5.720,5.730,6.150,5.610,0.525
,5.0,6.130,6.160,6.200,6.090,6.390,6.194,0.117
,10.0,6.390,6.380,6.320,6.350,6.340,6.356,0.029
,15.0,4.730,5.680,4.730,5.670,4.730,5.108,0.518
,20.0,5.660,4.990,5.690,4.970,6.110,5.484,0.493
,25.0,5.230,5.240,5.250,5.230,6.340,5.458,0.493
,30.0,5.330,5.760,5.030,5.120,5.990,5.446,0.415
,35.0,6.590,6.650,7.180,7.840,6.830,7.018,0.514
,40.0,6.630,6.640,6.590,6.550,7.220,6.726,0.278
