Seeds,SGD,,HB,,,Adam,,
,learning rate,test accuracy,learning rate,momentum,test accuracy,learning rate,epsilon,test accuracy
1,0.191,90.46,0.775,0.632,92.05,1.701E+11,2.491E+11,92.06
2,0.228,90.81,0.681,0.722,91.72,1.995E+11,3.748E+11,91.37
3,0.590,91.67,0.722,0.957,10.00,1.273E+11,2.114E+11,91.84
4,0.641,91.56,0.932,0.548,10.00,3.756E+11,7.491E+11,91.39
5,0.183,90.77,0.918,0.535,91.93,9.801E+10,1.759E+11,91.93
6,0.543,91.79,0.181,0.916,91.59,4.406E+11,6.727E+11,91.77
7,0.900,91.90,0.958,0.932,10.00,1.820E+11,3.480E+11,91.86
8,0.121,90.14,0.240,0.847,91.70,2.714E+11,4.169E+11,91.53
9,0.902,91.87,0.785,0.904,10.00,2.561E+11,3.879E+11,91.73
10,0.671,92.05,0.581,0.957,10.00,1.824E+11,3.103E+11,91.64
11,0.951,91.89,0.442,0.985,10.00,6.310E+11,9.162E+11,91.78
12,0.082,88.89,0.913,0.732,10.00,2.965E+11,5.504E+11,91.63
13,0.284,91.24,0.495,0.616,91.93,4.194E+11,6.150E+11,91.59
14,0.637,92.05,0.523,0.837,54.31,4.515E+11,8.421E+11,91.79
15,0.476,91.76,0.400,0.551,91.97,4.564E+11,7.643E+11,91.66
16,0.119,89.68,0.721,0.712,91.70,3.839E+11,5.579E+11,91.70
17,0.403,91.19,0.477,0.707,91.86,7.134E+10,1.115E+11,91.89
18,0.837,92.10,0.290,0.868,91.82,3.178E+11,5.022E+11,91.85
19,0.269,91.55,0.995,0.991,10.00,5.548E+10,1.040E+11,91.54
20,0.636,91.85,0.581,0.927,10.00,5.999E+10,1.195E+11,91.40
21,0.406,91.68,0.209,0.531,91.10,3.597E+11,5.856E+11,91.55
22,0.255,90.81,0.252,0.887,91.55,5.615E+11,8.727E+11,91.67
23,0.712,91.74,0.397,0.762,91.85,1.963E+11,2.936E+11,92.00
24,0.111,89.65,0.600,0.688,91.96,1.835E+11,2.964E+11,91.81
25,0.350,91.64,0.522,0.841,10.00,2.938E+11,4.551E+11,91.45
26,0.362,91.66,0.469,0.742,92.24,1.934E+11,3.534E+11,91.30
27,0.045,86.66,0.727,0.962,10.00,3.762E+11,7.388E+11,91.74
28,0.565,91.68,0.962,0.788,10.00,5.112E+11,7.601E+11,91.64
29,0.791,92.00,0.718,0.543,91.80,4.679E+11,6.811E+11,91.39
30,0.809,92.00,0.936,0.607,10.00,5.087E+11,7.742E+11,91.37
31,0.538,91.70,0.201,0.666,91.52,3.225E+11,5.794E+11,91.48
32,0.508,91.71,0.911,0.840,10.00,1.912E+11,3.053E+11,91.72
33,0.041,86.66,0.790,0.713,10.00,6.460E+10,1.113E+11,91.53
34,0.218,90.96,0.151,0.830,91.87,2.821E+11,4.744E+11,91.88
35,0.495,91.78,0.253,0.778,92.28,3.610E+11,5.696E+11,91.63
36,0.277,90.73,0.316,0.890,91.01,4.819E+11,8.301E+11,91.55
37,0.987,91.90,0.384,0.530,91.99,5.509E+11,8.149E+11,91.84
38,0.681,91.88,0.108,0.525,90.97,4.124E+11,7.796E+11,91.56
39,0.014,82.45,0.343,0.856,91.59,2.312E+11,4.262E+11,91.90
40,0.455,91.45,0.457,0.956,10.00,4.245E+11,8.157E+11,91.44
41,0.607,91.81,0.448,0.818,91.45,1.507E+11,2.721E+11,91.61
42,0.638,91.92,0.482,0.597,92.07,6.626E+10,1.206E+11,91.53
43,0.448,91.74,0.509,0.734,92.05,4.225E+11,7.045E+11,91.98
44,0.433,91.60,0.269,0.600,91.88,1.781E+11,3.073E+11,91.58
45,0.308,91.23,0.680,0.889,10.00,3.750E+11,5.862E+11,91.80
46,0.172,90.61,0.724,0.740,90.89,3.268E+11,5.544E+11,91.76
47,0.449,91.73,0.630,0.956,10.00,4.529E+11,6.510E+11,91.56
48,0.743,91.72,0.255,0.903,91.24,6.720E+10,1.335E+11,91.99
49,0.562,91.85,0.070,0.886,92.06,3.352E+11,6.272E+11,91.44
50,0.819,91.68,0.645,0.606,91.84,1.459E+11,2.124E+11,91.42
51,0.265,90.94,0.653,0.661,10.00,2.463E+11,4.516E+11,91.54
52,0.097,89.55,0.043,0.774,90.96,1.821E+11,3.307E+11,91.94
53,0.661,91.78,0.494,0.945,10.00,2.312E+11,4.247E+11,91.62
54,0.157,90.45,0.366,0.666,92.22,4.449E+11,8.368E+11,91.69
55,0.938,92.07,0.482,0.693,92.35,2.574E+11,4.108E+11,92.14
56,0.191,90.80,0.055,0.671,90.71,6.552E+11,9.712E+11,91.63
57,0.404,91.38,0.618,0.907,10.00,1.135E+11,2.090E+11,91.69
58,0.300,91.19,0.896,0.601,10.00,4.589E+11,9.009E+11,91.77
59,0.346,91.32,0.746,0.521,92.11,2.998E+11,4.849E+11,91.97
60,0.862,92.08,0.157,0.894,91.77,1.620E+11,2.909E+11,91.88
61,0.636,92.03,0.756,0.719,10.00,3.721E+11,6.445E+11,91.64
62,0.384,91.33,0.581,0.839,10.00,3.068E+11,5.412E+11,91.81
63,0.456,91.20,0.393,0.727,92.19,4.722E+11,8.574E+11,91.59
64,0.757,92.04,0.728,0.739,91.22,4.119E+11,6.620E+11,91.67
65,0.178,90.87,0.402,0.920,10.00,4.502E+11,8.244E+11,91.47
