Basedline:,SGD,92.02+-0.341,HB,91.90+-0.27,,,,
,,,,,,,,
Adam with large epsilon,,,,,,,,
EPS,Learning Rate,Random Seed,,,,,Mean,Std
,,1,2,3,4,5,,
1.00E+07,5.00E+05,87.17,87.16,87.02,87.15,87.01,87.10,0.080
,1.50E+06,89.96,89.97,89.87,90.10,90.38,90.06,0.199
,2.00E+06,90.68,90.94,90.62,90.82,90.95,90.80,0.149
,2.50E+06,90.90,91.17,90.66,91.03,91.08,90.97,0.198
1.00E+08,5.00E+06,87.32,87.55,87.20,87.57,87.44,87.42,0.157
,1.50E+07,90.15,90.32,89.96,90.55,90.17,90.23,0.220
,2.00E+07,90.75,90.45,90.43,90.76,90.76,90.63,0.174
,2.50E+07,90.94,90.86,90.92,91.19,90.58,90.90,0.218
,3.00E+07,91.05,91.01,91.28,91.52,91.22,91.22,0.204
,4.00E+07,91.50,91.50,91.47,91.48,91.22,91.43,0.120
1.00E+09,5.00E+07,87.08,87.38,87.54,87.41,87.64,87.41,0.212
,1.50E+08,90.50,90.43,90.31,90.05,90.22,90.30,0.177
,2.00E+08,90.94,90.86,90.77,90.40,91.00,90.79,0.237
,2.50E+08,90.83,91.16,90.68,90.89,91.01,90.91,0.182
,3.00E+08,91.03,91.22,90.91,91.16,91.17,91.10,0.126
,4.00E+08,91.63,91.41,91.54,91.27,91.61,91.49,0.151
,5.00E+08,91.74,91.72,91.86,91.89,91.57,91.76,0.127
1.00E+10,5.00E+08,87.30,87.25,87.20,86.98,87.16,87.18,0.123
,1.50E+09,90.19,90.24,90.30,90.23,90.12,90.22,0.067
,2.00E+09,90.55,91.01,90.77,90.87,90.65,90.77,0.181
,2.50E+09,91.04,91.18,90.87,91.18,90.87,91.03,0.156
,3.00E+09,91.24,91.44,91.33,90.98,91.08,91.21,0.186
,3.25E+09,91.05,91.40,91.35,91.21,91.09,91.22,0.154
,3.50E+09,91.13,91.27,91.11,91.50,91.05,91.21,0.180
,4.00E+09,91.94,91.11,91.08,91.59,91.33,91.41,0.360
,5.00E+09,91.56,91.40,91.53,91.58,91.67,91.55,0.098
,5.50E+09,91.58,91.45,91.63,91.60,91.71,91.59,0.094
,6.00E+09,92.02,91.79,91.83,91.70,91.55,91.78,0.173
,6.50E+09,91.94,91.91,91.70,91.86,91.34,91.75,0.247
,7.00E+09,91.59,91.41,92.06,91.53,91.46,91.61,0.261
1.00E+11,4.00E+10,91.42,91.46,91.46,91.27,91.35,91.39,0.082
,5.00E+10,91.46,91.50,91.48,91.53,91.44,91.48,0.035
,5.50E+10,91.66,91.93,91.92,91.88,91.81,91.84,0.111
,6.00E+10,91.49,91.72,91.47,91.91,91.32,91.58,0.233
